"Years","Accumulation","District","Value"
"1987","NDJ","Tambara",388.4
"1988","NDJ","Tambara",375.43
"1989","NDJ","Tambara",341.24
"1990","NDJ","Tambara",497.33
"1991","NDJ","Tambara",248.46
"1992","NDJ","Tambara",196.41
"1993","NDJ","Tambara",498.24
"1994","NDJ","Tambara",352.86
"1995","NDJ","Tambara",421.72
"1996","NDJ","Tambara",507.34
"1997","NDJ","Tambara",546.41
"1998","NDJ","Tambara",590.89
"1999","NDJ","Tambara",798.41
"2000","NDJ","Tambara",382.16
"2001","NDJ","Tambara",445.51
"2002","NDJ","Tambara",539.89
"2003","NDJ","Tambara",371.19
"2004","NDJ","Tambara",303.07
"2005","NDJ","Tambara",530.69
"2006","NDJ","Tambara",568.87
"2007","NDJ","Tambara",552.79
"2008","NDJ","Tambara",599.32
"2009","NDJ","Tambara",378.65
"2010","NDJ","Tambara",335.9
"2011","NDJ","Tambara",578.2
"2012","NDJ","Tambara",450.57
"2013","NDJ","Tambara",462.64
"2014","NDJ","Tambara",444.64
"2015","NDJ","Tambara",480.95
"2016","NDJ","Tambara",265.04
"2017","NDJ","Tambara",646.4
"2018","NDJ","Tambara",271.1
"2019","NDJ","Tambara",585.19
"2020","NDJ","Tambara",423.23
"2021","NDJ","Tambara",496.92
"1982","DJF","Tambara",558.21
"1983","DJF","Tambara",320.63
"1984","DJF","Tambara",487.58
"1985","DJF","Tambara",583.66
"1986","DJF","Tambara",772.53
"1987","DJF","Tambara",385.69
"1988","DJF","Tambara",541.88
"1989","DJF","Tambara",584.45
"1990","DJF","Tambara",499.09
"1991","DJF","Tambara",401.3
"1992","DJF","Tambara",145.54
"1993","DJF","Tambara",652.75
"1994","DJF","Tambara",333.21
"1995","DJF","Tambara",473.25
"1996","DJF","Tambara",689.43
"1997","DJF","Tambara",928.98
"1998","DJF","Tambara",617.25
"1999","DJF","Tambara",998.23
"2000","DJF","Tambara",568.58
"2001","DJF","Tambara",724.13
"2002","DJF","Tambara",568.8
"2003","DJF","Tambara",487.78
"2004","DJF","Tambara",449.97
"2005","DJF","Tambara",474.53
"2006","DJF","Tambara",661.14
"2007","DJF","Tambara",654.07
"2008","DJF","Tambara",554.21
"2009","DJF","Tambara",443.92
"2010","DJF","Tambara",560.14
"2011","DJF","Tambara",554.65
"2012","DJF","Tambara",496.9
"2013","DJF","Tambara",570.17
"2014","DJF","Tambara",566.28
"2015","DJF","Tambara",587.93
"2016","DJF","Tambara",303.43
"2017","DJF","Tambara",832.48
"2018","DJF","Tambara",574.11
"2019","DJF","Tambara",670.15
"2020","DJF","Tambara",576.38
"2021","DJF","Tambara",587.23
